channel_url,channel_name
/channel/UCVrJcoR8hUN9Rn7uPI4z6NQ,わんこそばOne-Co Soba Noodles
/channel/UC_SescfJ3NPoiFkYbnKnoqQ,川口春奈オフィシャル はーちゃんねる
